,Rank,Country,Score,Economy,Family,Health,Freedom,Generosity,Trust
0,128,Afghanistan,3.632,0.332,0.537,0.255,0.085,0.191,0.036
1,101,Albania,4.586,0.916,0.817,0.79,0.419,0.149,0.032
2,77,Algeria,5.295,0.979,1.154,0.687,0.077,0.055,0.135
3,27,Argentina,6.388,1.073,1.468,0.744,0.57,0.062,0.054
4,116,Armenia,4.321,0.816,0.99,0.666,0.26,0.077,0.028
5,9,Australia,7.272,1.34,1.573,0.91,0.647,0.361,0.302
6,11,Austria,7.139,1.341,1.504,0.891,0.617,0.242,0.224
7,80,Azerbaijan,5.201,1.024,1.161,0.603,0.43,0.031,0.176
8,39,Bahrain,6.105,1.338,1.366,0.698,0.594,0.243,0.123
9,104,Bangladesh,4.5,0.532,0.85,0.579,0.58,0.153,0.144
10,67,Belarus,5.483,1.039,1.498,0.7,0.307,0.101,0.154
11,15,Belgium,6.927,1.324,1.483,0.894,0.583,0.188,0.24
12,122,Benin,4.141,0.378,0.372,0.24,0.44,0.163,0.067
13,56,Bolivia,5.752,0.751,1.223,0.508,0.606,0.141,0.054
14,85,Bosnia and Herzegovina,5.129,0.915,1.078,0.758,0.28,0.216,0.0
15,129,Botswana,3.59,1.017,1.174,0.417,0.557,0.042,0.092
16,26,Brazil,6.419,0.986,1.474,0.675,0.493,0.11,0.088
17,90,Bulgaria,4.933,1.054,1.515,0.712,0.359,0.064,0.009
18,109,Burkina Faso,4.424,0.314,1.097,0.254,0.312,0.175,0.128
19,136,Burundi,2.905,0.091,0.627,0.145,0.065,0.149,0.076
20,108,Cambodia,4.433,0.549,1.088,0.457,0.696,0.256,0.065
21,89,Cameroon,4.975,0.535,0.891,0.182,0.454,0.183,0.043
22,6,Canada,7.328,1.33,1.532,0.896,0.653,0.321,0.291
23,118,Chad,4.301,0.358,0.907,0.053,0.189,0.181,0.06
24,24,Chile,6.476,1.131,1.331,0.808,0.431,0.197,0.061
25,79,China,5.246,0.989,1.142,0.799,0.597,0.029,0.103
26,34,Colombia,6.26,0.96,1.439,0.635,0.531,0.099,0.039
27,103,Congo (Brazzaville),4.559,0.682,0.811,0.343,0.514,0.091,0.077
28,12,Costa Rica,7.072,1.01,1.459,0.817,0.632,0.143,0.101
29,75,Croatia,5.321,1.115,1.161,0.737,0.38,0.12,0.039
30,55,Cyprus,5.762,1.229,1.191,0.909,0.423,0.202,0.035
31,20,Czech Republic,6.711,1.233,1.489,0.854,0.543,0.064,0.034
32,2,Denmark,7.555,1.351,1.59,0.868,0.683,0.284,0.408
33,76,Dominican Republic,5.302,0.982,1.441,0.614,0.578,0.12,0.106
34,44,Ecuador,5.973,0.889,1.33,0.736,0.556,0.114,0.12
35,110,Egypt,4.419,0.885,1.025,0.553,0.312,0.092,0.107
36,36,El Salvador,6.167,0.806,1.231,0.639,0.461,0.065,0.082
37,57,Estonia,5.739,1.2,1.532,0.737,0.553,0.086,0.174
38,114,Ethiopia,4.35,0.308,0.95,0.391,0.452,0.22,0.146
39,0,Finland,7.632,1.305,1.592,0.874,0.681,0.202,0.393
40,22,France,6.489,1.293,1.466,0.908,0.52,0.098,0.176
41,93,Gabon,4.758,1.036,1.164,0.404,0.356,0.032,0.052
42,115,Georgia,4.34,0.853,0.592,0.643,0.375,0.038,0.215
43,14,Germany,6.965,1.34,1.474,0.861,0.586,0.273,0.28
44,98,Ghana,4.657,0.592,0.896,0.337,0.499,0.212,0.029
45,72,Greece,5.358,1.154,1.202,0.879,0.131,0.0,0.044
46,28,Guatemala,6.382,0.781,1.268,0.608,0.604,0.179,0.071
47,125,Guinea,3.964,0.344,0.792,0.211,0.394,0.185,0.094
48,131,Haiti,3.582,0.315,0.714,0.289,0.025,0.392,0.104
49,66,Honduras,5.504,0.62,1.205,0.622,0.459,0.197,0.074
50,63,Hungary,5.62,1.171,1.401,0.732,0.259,0.061,0.022
51,3,Iceland,7.495,1.343,1.644,0.914,0.677,0.353,0.138
52,119,India,4.19,0.721,0.747,0.485,0.539,0.172,0.093
53,88,Indonesia,5.093,0.899,1.215,0.522,0.538,0.484,0.018
54,96,Iran,4.707,1.059,0.771,0.691,0.459,0.282,0.129
55,106,Iraq,4.456,1.01,0.971,0.536,0.304,0.148,0.095
56,13,Ireland,6.977,1.448,1.583,0.876,0.614,0.307,0.306
57,18,Israel,6.814,1.301,1.559,0.883,0.533,0.354,0.272
58,43,Italy,6.0,1.264,1.501,0.946,0.281,0.137,0.028
59,97,Ivory Coast,4.671,0.541,0.872,0.08,0.467,0.146,0.103
60,51,Jamaica,5.89,0.819,1.493,0.693,0.575,0.096,0.031
61,49,Japan,5.915,1.294,1.462,0.988,0.553,0.079,0.15
62,82,Jordan,5.161,0.822,1.265,0.645,0.468,0.13,0.134
63,54,Kazakhstan,5.79,1.143,1.516,0.631,0.454,0.148,0.121
64,111,Kenya,4.41,0.493,1.048,0.454,0.504,0.352,0.055
65,60,Kosovo,5.662,0.855,1.23,0.578,0.448,0.274,0.023
66,41,Kuwait,6.083,1.474,1.301,0.675,0.554,0.167,0.106
67,84,Kyrgyzstan,5.131,0.53,1.416,0.594,0.54,0.281,0.035
68,48,Latvia,5.933,1.148,1.454,0.671,0.363,0.092,0.066
69,73,Lebanon,5.358,0.965,1.179,0.785,0.503,0.214,0.136
70,132,Liberia,3.495,0.076,0.858,0.267,0.419,0.206,0.03
71,64,Libya,5.566,0.985,1.35,0.553,0.496,0.116,0.148
72,45,Lithuania,5.952,1.197,1.527,0.716,0.35,0.026,0.006
73,16,Luxembourg,6.91,1.576,1.52,0.896,0.632,0.196,0.321
74,126,Madagascar,3.774,0.262,0.908,0.402,0.221,0.155,0.049
75,130,Malawi,3.587,0.186,0.541,0.306,0.531,0.21,0.08
76,32,Malaysia,6.322,1.161,1.258,0.669,0.356,0.311,0.059
77,107,Mali,4.447,0.37,1.233,0.152,0.367,0.139,0.056
78,21,Malta,6.627,1.27,1.525,0.884,0.645,0.376,0.142
79,113,Mauritania,4.356,0.557,1.245,0.292,0.129,0.134,0.093
80,50,Mauritius,5.891,1.09,1.387,0.684,0.584,0.245,0.05
81,23,Mexico,6.488,1.038,1.252,0.761,0.479,0.069,0.095
82,61,Moldova,5.64,0.657,1.301,0.62,0.232,0.171,0.0
83,86,Mongolia,5.125,0.914,1.517,0.575,0.395,0.253,0.032
84,74,Montenegro,5.347,1.017,1.279,0.729,0.259,0.111,0.081
85,78,Morocco,5.254,0.779,0.797,0.669,0.46,0.026,0.074
86,117,Myanmar,4.308,0.682,1.174,0.429,0.58,0.598,0.178
87,91,Nepal,4.88,0.425,1.228,0.539,0.526,0.302,0.078
88,5,Netherlands,7.441,1.361,1.488,0.878,0.638,0.333,0.295
89,7,New Zealand,7.324,1.268,1.601,0.876,0.669,0.365,0.389
90,37,Nicaragua,6.141,0.668,1.319,0.7,0.527,0.208,0.128
91,120,Niger,4.166,0.131,0.867,0.221,0.39,0.175,0.099
92,83,Nigeria,5.155,0.689,1.172,0.048,0.462,0.201,0.032
93,1,Norway,7.594,1.456,1.582,0.861,0.686,0.286,0.34
94,69,Pakistan,5.472,0.652,0.81,0.424,0.334,0.216,0.113
95,94,Palestinian Territories,4.743,0.642,1.217,0.602,0.266,0.086,0.076
96,25,Panama,6.43,1.112,1.438,0.759,0.597,0.125,0.063
97,58,Paraguay,5.681,0.835,1.522,0.615,0.541,0.162,0.074
98,59,Peru,5.663,0.934,1.249,0.674,0.53,0.092,0.034
99,65,Philippines,5.524,0.775,1.312,0.513,0.643,0.12,0.105
100,38,Poland,6.123,1.176,1.448,0.781,0.546,0.108,0.064
101,70,Portugal,5.41,1.188,1.429,0.884,0.562,0.055,0.017
102,47,Romania,5.945,1.116,1.219,0.726,0.528,0.088,0.001
103,53,Russia,5.81,1.151,1.479,0.599,0.399,0.065,0.025
104,133,Rwanda,3.408,0.332,0.896,0.4,0.636,0.2,0.444
105,30,Saudi Arabia,6.371,1.379,1.331,0.633,0.509,0.098,0.127
106,99,Senegal,4.631,0.429,1.117,0.433,0.406,0.138,0.082
107,71,Serbia,5.398,0.975,1.369,0.685,0.288,0.134,0.043
108,102,Sierra Leone,4.571,0.256,0.813,0.0,0.355,0.238,0.053
109,31,Singapore,6.343,1.529,1.451,1.008,0.631,0.261,0.457
110,35,Slovakia,6.173,1.21,1.537,0.776,0.354,0.118,0.014
111,46,Slovenia,5.948,1.219,1.506,0.856,0.633,0.16,0.051
112,95,South Africa,4.724,0.94,1.41,0.33,0.516,0.103,0.056
113,52,South Korea,5.875,1.266,1.204,0.955,0.244,0.175,0.051
114,33,Spain,6.31,1.251,1.538,0.965,0.449,0.142,0.074
115,105,Sri Lanka,4.471,0.918,1.314,0.672,0.585,0.307,0.05
116,8,Sweden,7.314,1.355,1.501,0.913,0.659,0.285,0.383
117,4,Switzerland,7.487,1.42,1.549,0.927,0.66,0.256,0.357
118,81,Tajikistan,5.199,0.474,1.166,0.598,0.292,0.187,0.034
119,135,Tanzania,3.303,0.455,0.991,0.381,0.481,0.27,0.097
120,42,Thailand,6.072,1.016,1.417,0.707,0.637,0.364,0.029
121,124,Togo,3.999,0.259,0.474,0.253,0.434,0.158,0.101
122,100,Tunisia,4.592,0.9,0.906,0.69,0.271,0.04,0.063
123,68,Turkey,5.483,1.148,1.38,0.686,0.324,0.106,0.109
124,62,Turkmenistan,5.636,1.016,1.533,0.517,0.417,0.199,0.037
125,121,Uganda,4.161,0.322,1.09,0.237,0.45,0.259,0.061
126,123,Ukraine,4.103,0.793,1.413,0.609,0.163,0.187,0.011
127,19,United Arab Emirates,6.774,2.096,0.776,0.67,0.284,0.186,
128,10,United Kingdom,7.19,1.244,1.433,0.888,0.464,0.262,0.082
129,17,United States,6.886,1.398,1.471,0.819,0.547,0.291,0.133
130,29,Uruguay,6.379,1.093,1.459,0.771,0.625,0.13,0.155
131,40,Uzbekistan,6.096,0.719,1.584,0.605,0.724,0.328,0.259
132,92,Venezuela,4.806,0.996,1.469,0.657,0.133,0.056,0.052
133,87,Vietnam,5.103,0.715,1.365,0.702,0.618,0.177,0.079
134,134,Yemen,3.355,0.442,1.073,0.343,0.244,0.083,0.064
135,112,Zambia,4.377,0.562,1.047,0.295,0.503,0.221,0.082
136,127,Zimbabwe,3.692,0.357,1.094,0.248,0.406,0.132,0.099
